,Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
955,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,12.7,3.47
956,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,6.3,1.98
957,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.3,0.93
958,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.4,0.21
959,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.4,-0.69
960,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,15.4,3.02
961,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,13.1,3.76
962,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,10.9,3.66
963,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,6.1,2.18
964,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,2.9,1.16
965,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,1.1,0.53
966,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-0.2,-0.12
967,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,21.2,2.62
968,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,18,3.2
969,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,12.9,3.31
970,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,6.2,2.16
971,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,1.5,0.75
972,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,-0.1,-0.07
973,PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.4,-1.14
974,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,16.9,2.79
975,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,13.9,3.59
976,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,10.3,3.03
977,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,3.7,1.55
978,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,0,0
979,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,-1.5,-1.23
980,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-3,-2.54
981,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.75,2.24
982,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,14.45,2.835
983,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,11.45,2.575
984,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5.75,1.335
985,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,1.75,0.435
986,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.2,0.055
987,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.85,-0.31
988,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,17.7,2.48
989,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,15.8,3.05
990,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,12.1,3.03
991,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,4.7,1.18
992,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,1.5,0.43
993,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,-0.3,-0.1
994,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-1.9,-0.72
995,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.2,2.84
996,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,13.95,4.105
997,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,10.55,3.575
998,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5.5,2.51
999,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.4,1.58
1000,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.4,0.68
1001,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-1.45,-0.875
1002,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,17.45,2.51
1003,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,15.7,3.025
1004,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,12,2.57
1005,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,5.75,1.35
1006,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,2.3,0.6
1007,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,0.55,0.15
1008,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-0.55,-0.185
1009,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,12.2,2.26
1010,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,12.1,2.65
1011,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,10.9,2.63
1012,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,7.1,1.97
1013,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.9,1.22
1014,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,2.7,0.92
1015,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,0.6,0.24
1016,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,1500,16.1,3.49
1017,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,1000,15,5.02
1018,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,500,11.9,4.25
