Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,12.1,3.09
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,5.9,1.9
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,2.7,1.18
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,0.9,0.55
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.4,-0.27
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,8.1,2.03
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,7.3,3.16
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,5.6,3.18
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,4,2.65
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.9,1.43
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0.6,0.58
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.3,-0.36
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,15.7,2.72
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,14.8,4.02
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,12.2,3.45
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,6.5,1.98
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3.7,1.17
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,0.7,0.27
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.9,-0.44
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.5,1.49
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,5.4,2.51
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,5.1,2.45
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,3.8,1.84
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,2.3,1.5
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0.7,0.46
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.1,-0.08
CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,16.2,2.71
CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,14.1,4.1
CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,8.9,4.22
CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,4.3,3.64
