Site,Year,Species,Phytometer,Neighbour,Treatment,Light intensity,Carbon Assimilation,WUE
PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,4.5,1
PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,1.8,0.51
PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0.6,0.26
PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.3,-0.2
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1500,23.9,3.17
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1000,21.1,2.84
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,500,14.5,2.28
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,200,6.4,1.21
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,100,2.8,0.71
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,50,0.8,0.44
PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,0,-0.4,-0.28
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,22.5,3.03
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,20.1,2.75
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,13.9,2.11
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,5.9,0.95
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,2.3,0.45
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0.7,0.17
PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.9,-0.28
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1500,23.5,3.13
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1000,21.2,2.7
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,500,14.8,1.95
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,200,5.9,0.87
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,100,2.7,0.83
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,50,0.8,0.39
PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,0,0,0
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,17.1,2.71
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,15.3,2.58
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,10.8,2.05
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,4.5,1.03
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,1.3,0.41
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0.1,0.05
PCA3,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-1,-0.71
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1500,22.2,3.34
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1000,19.4,3.08
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,500,13.7,2.35
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,200,6,1.15
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,100,1.9,0.48
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,50,0.2,0.08
PCA3CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,0,-0.1,-0.05
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,15,2.88
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,13.6,2.72
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,9.5,2.14
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,3.9,1.1
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,1.1,0.75
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,-0.1,-0.09
PCA4,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-1,-1.12
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1500,25.4,3.35
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1000,22.1,2.86
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,500,14.6,1.97
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,200,6.1,0.92
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,100,2,0.33
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,50,-0.1,-0.02
PCA4CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,0,-1.8,-0.52
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,20.4,2.72
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,17.8,2.47
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,12.7,1.92
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,5.5,0.9
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,1.9,0.43
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0,0
PCA5,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.9,-0.4
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,20.9,2.8
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,18.5,2.64
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,13.2,2.07
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,5.5,1.01
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,1.6,0.4
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0.1,0.04
PCA6,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.9,-0.45
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1500,23.6,3.04
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,1000,21,2.78
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,500,14.6,1.97
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,200,6.1,0.87
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,100,2.3,0.41
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,50,0.4,0.09
PCA6CU,2016,Phragmites,Phragmites_Carex,Carex,No competition,0,-1,-0.29
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,23.2,3.21
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,18.6,2.93
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,13.4,2.33
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5,1
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,0.7,0.17
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,-0.9,-0.35
PCC4,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-1.3,-0.53
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,14.2,2.68
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,13.7,2.46
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,11.1,2.14
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5.8,1.22
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.6,0.71
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,1,0.39
PCC5,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.5,-0.25
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,19,2.61
